File,TypeName,ScriptName,Match,Note
Sops/CityProps/AB.CommercialSignGenerator.4.8.hda,AB::CommercialSignGenerator::4.8,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.ElectricBoxGenerator.2.0.hda,AB::ElectricBoxGenerator::2.0,RFX::MD_city_props::1.0,MISMATCH,
Sops/CityProps/AB.FireHydrantGenerator.2.0.hda,AB::FireHydrantGenerator::2.0,AB::FireHydrantGenerator::2.0,ok,
Sops/CityProps/AB.GraphicSigns.2.0.hda,AB::GraphicSigns::2.0,RFX::MD_graphic_signs::1.0,MISMATCH,
Sops/CityProps/AB.HandrailGenerator.3.0.hda,AB::HandrailGenerator::3.0,AOD::handrail_maker::1.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.HighwaySignGenerator.4.8.hda,AB::HighwaySignGenerator::4.8,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.HighwaySignGenerator.4.9.hda,AB::HighwaySignGenerator::4.9,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.HighwaySignGenerator.5.0.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.MailBoxGenerator.2.0.hda,AB::MailBoxGenerator::2.0,RFX::MD_city_props::1.0,MISMATCH,
Sops/CityProps/AB.PlanterGenerator.2.0.hda,AB::PlanterGenerator::2.0,RFX::MD_city_props::1.0,MISMATCH,
Sops/CityProps/AB.PoleGenerator.1.0.hda,AB::PoleGenerator::1.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.RoofTopSignGenerator.4.8.hda,AB::RoofTopSignGenerator::4.8,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.ShippingContainers.4.0.hda,AB::ShippingContainers::4.0,AB::ShippingContainers::4.0,ok,
Sops/CityProps/AB.SignHighway.1.0.hda,AB::SignHighway::1.0,AB::SignHighway::1.0,ok,
Sops/CityProps/AB.SignHighway.2.0.hda,AB::SignHighway::1.0,AB::SignHighway::1.0,ok,
Sops/CityProps/AB.SignHighway.2.0.hda,AB::SignHighway::2.0,AB::SignHighway::1.0,MISMATCH,
Sops/CityProps/AB.SignLibrary.1.0.hda,AB::SignLibrary::1.0,AB::SignLibrary::1.0,ok,
Sops/CityProps/AB.SignPlate.1.0.hda,AB::SignPlate::1.0,AB::SignPlate::1.0,ok,
Sops/CityProps/AB.StreetLightGenerator.2.0.hda,AB::StreetLightGenerator::2.0,RFX::MD_street_lights::1.5,MISMATCH,
Sops/CityProps/AB.StreetLightGenerator.2.1.hda,AB::StreetLightGenerator::2.1,RFX::MD_street_lights::1.5,MISMATCH,
Sops/CityProps/AB.StreetLightGenerator.2.2.hda,AB::StreetLightGenerator::2.2,RFX::MD_street_lights::1.5,MISMATCH,
Sops/CityProps/AB.StreetSignGenerator.2.0.hda,AB::StreetSignGenerator::2.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.StreetSignGenerator.3.0.hda,AB::StreetSignGenerator::3.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/AB.TowerGenerator.1.0.hda,AB::TowerGenerator::1.0,AB::TowerGenerator::1.0,ok,
Sops/CityProps/AB.TrashCanGenerator.2.0.hda,AB::TrashCanGenerator::2.0,RFX::MD_city_props::1.0,MISMATCH,
Sops/CityProps/AB.UtilityPoleGenerator.3.0.hda,AB::UtilityPoleGenerator::3.0,AOD::utility_pole_maker::2.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak1.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak10.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak11.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak12.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak13.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak14.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak15.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak16.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak17.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak18.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak19.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak2.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak20.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak21.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak22.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak23.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak24.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak25.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak26.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak27.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak28.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak29.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak3.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak30.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
Sops/CityProps/backup/AB.HighwaySignGenerator.5.0_bak31.hda,AB::HighwaySignGenerator::5.0,AOD::sign_maker::3.0,MISMATCH,legacy AOD lineage
