tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/dopnet1,dopnet,,11,1,medium,stdswitcher1=1,autoresim cacheenabled cachemaxsize explicitcache explicitcachecheckpointspacing explicitcachensteps resimulate startframe substep timeoffset timestep
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/dopnet1/vellumobject1,vellumobject,,46,3,medium,folder11=1 usesimframe=1 createframe=1,guide_attachcolorb guide_attachcolorg guide_attachcolorr guide_colvisscale guide_constraintgroup guide_constraintvisradius guide_failedexternalb guide_failedexternalg guide_failedexternalr guide_failedselfb guide_failedselfg guide_failedselfr guide_pincolorb guide_pincolorg guide_pincolorr guide_showattach guide_showfailedexternal guide_showfailedself guide_showpin guide_showstitch guide_showthickness guide_showthicknessextrude guide_showwelds guide_stitchcolorb guide_stitchcolorg guide_stitchcolorr guide_thicknesscolorb guide_thicknesscolorg guide_thicknesscolorr guide_usegroup guide_weldcolorb guide_weldcolorg guide_weldcolorr showguide vis_displaygeo vis_maxbendangle vis_maxbendplasticflow vis_maxbendstress vis_maxstretchdistance vis_maxstretchplasticflow vis_maxstretchratio vis_maxstretchstress vis_maxvolumedistance vis_maxvolumeratio vis_maxvolumestress vis_mode
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/dopnet1/vellumsolver1,vellumsolver,,69,4,medium,folder4=1 folder9=1 usegravity=1 sdfaccurategrad=1,accelfallback adhesion angveldamping attractionweight collisioniter collisionviscosity disablebrokenwelds disablestretchratio doautosleep domaxaccel domultipass dosecondary doselfcollisions dosort dynamic_scale dynamic_sdfscale enablecollisions fluid_searchscale friction grain_maxneighbor grain_searchscale grain_uniformradius gravityx gravityy gravityz groundposx groundposy groundposz ignorepiece integration layershock limitaccel limitdisplace maxaccel maxmultipass maxviscosityiterations minimalmode niter normalizestress oclgraphcolor oclneighborsearch orientsolve postcollisioniter repulsionweight resolveall resolveallmax sdfcollisioniter sdfcollisions sdfresolveall sdfresolveallmax secondaryfrequency secondarygroup selffriction sleep_delay sleep_velocitythreshold slidingmethod smoothiter sortinterval static_sdfscale static_threshold substeps surfacetension thickness timescale tol useground veldamping viscosity viscositysolver
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/dopnet1/gravity1,gravity,,3,1,medium,defaultparmop=1,forcex forcey forcez
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/dopnet1/external,staticobject,,2,4,medium,usesimframe=1 createframe=1 std_switcher_0_2_11=1 std_switcher_31=1,animategeo bullet_shrink_amount
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/collision_errors,error,,1,1,medium,severity1=1,enable1
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/vdb_collision_errors,error,,1,1,medium,severity1=2,enable1
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2/switchif_vdb_colliders,switchif,,1,4,medium,mergecondition=1 tests=2 type2=1 attribowner2=2,expr1
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/tube1,tube,,2,3,medium,type=1 cap=1 cols=6,height rad2
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/tube2,tube,,4,2,medium,type=1 cap=1,cols height rad1 rad2
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateNutsBoltsWashers/tube3,tube,,4,2,medium,type=1 cap=1,cols height rad1 rad2
